#options: 3840x2160 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:37.74 aq:19.61 tex:91465 mv:41766 misc:401 imb:32400 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:37.89 aq:19.35 tex:21843 mv:13317 misc:4488 imb:5453 pmb:405 smb:26542 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:37.89 aq:23.86 tex:1560 mv:4501 misc:3363 imb:182 pmb:662 smb:31556 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:37.89 aq:23.25 tex:737 mv:1979 misc:2924 imb:68 pmb:473 smb:31859 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:37.89 aq:23.49 tex:502 mv:1126 misc:1868 imb:16 pmb:222 smb:32162 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:37.78 aq:20.95 tex:5839 mv:6686 misc:3651 imb:1109 pmb:549 smb:30742 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:37.84 aq:23.92 tex:273 mv:721 misc:2190 imb:8 pmb:226 smb:32166 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:37.86 aq:23.00 tex:18 mv:25 misc:1309 imb:0 pmb:3 smb:32397 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:37.81 aq:25.50 tex:133 mv:974 misc:1741 imb:2 pmb:108 smb:32290 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:37.60 aq:22.43 tex:9955 mv:8076 misc:4337 imb:462 pmb:622 smb:31316 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:37.69 aq:22.71 tex:789 mv:1730 misc:2161 imb:9 pmb:193 smb:32198 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:37.74 aq:26.57 tex:200 mv:454 misc:1602 imb:4 pmb:63 smb:32333 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:37.64 aq:23.18 tex:192 mv:269 misc:1571 imb:2 pmb:45 smb:32353 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:36.50 aq:20.52 tex:8704 mv:8403 misc:4445 imb:1118 pmb:583 smb:30699 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:37.05 aq:23.23 tex:537 mv:1287 misc:1848 imb:8 pmb:134 smb:32258 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:37.32 aq:22.27 tex:117 mv:173 misc:1454 imb:6 pmb:19 smb:32375 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:36.78 aq:22.07 tex:111 mv:136 misc:1425 imb:1 pmb:20 smb:32379 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:29.80 aq:13.90 tex:99548 mv:34081 misc:5603 imb:2973 pmb:1772 smb:27655 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:33.15 aq:21.25 tex:5540 mv:10495 misc:4837 imb:145 pmb:1263 smb:30992 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:34.83 aq:22.24 tex:743 mv:2379 misc:2150 imb:10 pmb:229 smb:32161 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:31.48 aq:20.46 tex:5432 mv:10260 misc:4692 imb:154 pmb:1282 smb:30964 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:26.46 aq:10.17 tex:236848 mv:40760 misc:4792 imb:2692 pmb:2412 smb:27296 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:28.13 aq:16.91 tex:20398 mv:24043 misc:6575 imb:329 pmb:2175 smb:29896 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:28.97 aq:16.78 tex:5512 mv:12977 misc:4703 imb:124 pmb:1256 smb:31020 d:- ref:0 ;
